,id,words,labels
193,7,distorted,O
194,7,toilets,O
195,7,are,O
196,7,too,O
197,7,few,O
198,7,and,O
199,7,you,O
200,7,can,B_EXC
201,7,queue,EXC
202,7,for,EXC
203,7,15,EXC
204,7,minutes,EXC
205,7,at,EXC
206,7,intervals,EXC
207,8,it,B_EXC
208,8,feel,EXC
209,8,slightly,EXC
210,8,claustrophobic,EXC
211,8,when,EXC
212,8,full,EXC
213,8,and,O
214,8,is,B_EXC
215,8,very,EXC
216,8,stuffy,EXC
217,9,i,O
218,9,love,O
219,9,the,O
220,9,architecture,O
221,9,and,O
222,9,the,O
223,9,fell,O
224,9,of,O
225,9,a,O
226,9,good,O
227,9,oldfashioned,O
228,9,theatre,O
229,9,but,O
230,9,wish,B_EXC
231,9,it,EXC
232,9,was,EXC
233,9,a,EXC
234,9,little,EXC
235,9,more,EXC
236,9,airy,EXC
237,9,cheery,O
238,9,and,O
239,9,with,B_EXC
240,9,a,EXC
241,9,few,EXC
242,9,less,EXC
243,9,seats,EXC
244,9,crammed,EXC
245,9,in,O
246,9,for,O
247,9,profit,O
248,10,it,O
249,10,gets,B_EXC
250,10,pretty,EXC
251,10,hot,EXC
252,10,outside,EXC
253,10,in,EXC
254,10,the,EXC
255,10,afternoon,EXC
256,10,but,O
257,10,now,O
258,10,there,O
259,10,is,O
260,10,the,O
261,10,big,O
262,10,indoor,O
263,10,mall,O
264,10,adjacent,O
265,10,to,O
266,10,the,O
267,10,old,O
268,10,outdoor,O
269,10,market,O
270,11,my,O
271,11,boy,O
272,11,bought,O
273,11,gundam,O
274,11,model,O
275,11,kit,O
276,11,with,O
277,11,a,O
278,11,really,B_INC
279,11,good,INC
280,11,price,INC
281,11,there,O
282,12,indoor,O
283,12,mall,O
284,12,has,O
285,12,a,O
286,12,nice,B_INC
287,12,food,INC
288,12,court,INC
289,12,as,INC
290,12,well,O
291,13,got,O
292,13,a,O
293,13,wonderful,O
294,13,foot,O
295,13,massage,O
296,13,there,O
297,13,with,O
298,13,a,O
299,13,reasonable,B_INC
300,13,price,INC
301,13,which,O
302,13,is,O
303,13,a,O
304,13,mustdo,O
305,13,to,O
306,13,reward,O
307,13,your,O
308,13,aching,O
309,13,feet,O
310,13,from,O
311,13,endless,O
312,13,walking,O
313,13,in,O
314,13,bangkok,O
315,14,took,O
316,14,my,O
317,14,disabled,O
318,14,son,O
319,14,along,O
320,14,with,O
321,14,my,O
322,14,toddler,O
323,14,down,O
324,14,to,O
325,14,adventure,O
326,14,island,O
327,14,and,O
328,14,their,O
329,14,attitude,B_EXC
330,14,towards,EXC
331,14,disabled,EXC
332,14,children,EXC
333,14,is,EXC
334,14,shocking,EXC
335,14,ive,O
336,14,visited,O
337,14,many,O
338,14,theme,O
339,14,parks,O
340,14,and,O
341,14,all,O
342,14,of,O
343,14,them,O
344,14,have,O
345,14,a,O
346,14,system,O
347,14,where,O
348,14,we,O
349,14,can,O
350,14,enter,O
351,14,by,O
352,14,the,O
353,14,exit,O
354,14,as,O
355,14,my,O
356,14,son,O
357,14,is,O
358,14,unable,O
359,14,to,O
360,14,walk,O
361,14,and,O
362,14,uses,O
363,14,a,O
364,14,wheelchair,O
365,14,so,O
366,14,cant,O
367,14,get,O
368,14,through,O
369,14,the,O
370,14,turnstiles,O
371,14,hes,O
372,14,also,O
373,14,severely,O
374,14,autistic,O
375,14,and,O
376,14,gets,O
377,14,frustrated,O
378,14,if,O
379,14,hes,O
380,14,waiting,O
381,14,too,O
382,14,long,O
383,14,so,O
384,14,the,O
385,14,first,O
386,14,ride,O
387,14,we,O
388,14,went,O
389,14,on,O
390,14,was,O
391,14,the,O
392,14,green,O
393,14,scream,O
394,14,there,O
395,14,is,O
396,14,a,O
397,14,turnstile,O
398,14,at,O
399,14,the,O
400,14,entrance,O
401,14,followed,O
402,14,by,O
403,14,a,O
404,14,big,O
405,14,ramp,O
406,14,obviously,O
407,14,his,B_EXC
408,14,chair,EXC
409,14,wouldnt,EXC
410,14,go,EXC
411,14,through,EXC
412,14,the,EXC
413,14,turnstile,EXC
414,14,so,O
415,14,my,O
416,14,husband,O
417,14,took,O
418,14,him,O
419,14,up,O
420,14,the,O
421,14,exit,O
422,14,ramp,O
423,14,the,O
424,14,member,O
425,14,of,O
426,14,staff,O
427,14,was,O
428,14,so,O
429,14,rude,O
430,14,practically,O
431,14,shoved,O
432,14,my,O
433,14,husband,O
434,14,back,O
435,14,down,O
436,14,the,O
437,14,ramp,O
438,14,leaving,O
439,14,my,O
440,14,little,O
441,14,boy,O
442,14,very,O
443,14,upset,O
444,14,that,O
445,14,he,O
446,14,couldnt,O
447,14,go,O
448,14,on,O
449,14,the,O
450,14,rides,O
451,14,that,O
452,14,he,O
453,14,loves,O
454,14,spoke,O
455,14,to,O
456,14,customer,O
457,14,service,O
458,14,who,O
459,14,refused,O
460,14,to,O
461,14,issue,O
462,14,a,O
463,14,refund,O
464,14,and,O
465,14,when,O
466,14,we,O
467,14,asked,O
468,14,to,O
469,14,speak,O
470,14,to,O
471,14,the,O
472,14,manager,O
473,14,we,O
474,14,were,O
475,14,told,O
476,14,that,O
477,14,he,O
478,14,wouldnt,O
479,14,deal,O
480,14,with,O
481,14,issues,O
482,14,like,O
483,14,this,O
484,15,cost,B_INC
485,15,is,INC
486,15,reasonable,INC
487,15,and,O
488,15,you,O
489,15,get,O
490,15,breath,O
491,15,taking,O
492,15,views,O
493,15,of,O
494,15,manhattan,O
495,15,including,O
496,15,the,O
497,15,empire,O
498,15,state,O
499,15,building,O
500,15,and,O
501,15,central,O
502,15,park,O
503,16,long,O
504,16,empty,O
505,16,beach,O
506,16,sand,O
507,16,is,O
508,16,lovely,O
509,16,but,O
510,16,waves,B_EXC
511,16,fierce,EXC
512,16,in,EXC
513,16,june,EXC
514,16,activities,O
515,16,along,O
516,16,the,O
517,16,beach,O
518,16,like,O
519,16,paragliding,O
520,16,and,O
521,16,jet,O
522,16,skies,O
523,17,it,O
524,17,is,O
525,17,also,O
526,17,very,B_INC
527,17,family,INC
528,17,friendly,INC
529,17,especially,INC
530,17,if,INC
531,17,you,INC
532,17,have,INC
533,17,babies,INC
534,17,young,INC
535,17,children,INC
536,18,there,O
537,18,is,O
538,18,also,O
539,18,ample,B_INC
540,18,free,INC
541,18,parking,INC
542,19,a,O
543,19,nice,B_INC
544,19,place,INC
545,19,to,INC
546,19,go,INC
547,19,for,INC
548,19,a,INC
549,19,family,INC
550,19,fun,INC
551,19,day,INC
552,19,out,O
553,19,and,O
554,19,its,B_INC
555,19,also,INC
556,19,cheaper,INC
557,19,than,O
558,19,london,O
559,19,zoo,O
560,20,got,O
561,20,there,O
562,20,and,O
563,20,into,O
564,20,zoomarine,O
565,20,with,O
566,20,little,B_INC
567,20,queues,INC
568,20,and,O
569,20,got,O
570,20,started,O
571,20,on,O
572,20,the,O
573,20,various,O
574,20,shows,O
575,20,which,O
576,20,are,O
577,20,all,O
578,20,good,O
579,20,and,O
580,20,worth,O
581,20,seeing,O
582,21,the,O
583,21,pools,O
584,21,and,O
585,21,rides,O
586,21,are,O
587,21,good,O
588,21,and,O
589,21,the,O
590,21,queues,B_EXC
591,21,were,EXC
592,21,long,EXC
593,21,but,O
594,21,moved,O
595,21,quickly,O
596,22,food,B_INC
597,22,is,INC
598,22,good,INC
599,22,value,INC
600,23,its,O
601,23,only,O
602,23,fast,O
603,23,food,O
604,23,but,O
605,23,at,B_INC
606,23,a,INC
607,23,reasonable,INC
608,23,rate,INC
609,24,queues,B_EXC
610,24,for,EXC
611,24,chicken,EXC
612,24,did,O
613,24,get,O
614,24,long,O
615,24,but,O
616,24,well,O
617,24,worth,O
618,24,the,O
619,24,wait,O
620,25,the,O
621,25,bar,O
622,25,food,B_INC
623,25,was,INC
624,25,pretty,INC
625,25,good,INC
626,25,and,INC
627,25,decent,INC
628,26,it,O
629,26,is,O
630,26,really,O
631,26,a,O
632,26,nice,B_INC
633,26,place,INC
634,26,for,INC
635,26,newly,INC
636,26,married,INC
637,26,couple,INC
638,27,after,O
639,27,the,O
640,27,crowds,O
641,27,at,O
642,27,the,O
643,27,natural,O
644,27,history,O
645,27,museum,O
646,27,we,O
647,27,found,O
648,27,the,O
649,27,va,O
650,27,much,B_INC
651,27,better,INC
652,27,with,INC
653,27,a,INC
654,27,wheelchair,INC
655,28,still,O
656,28,a,O
657,28,lot,B_EXC
658,28,of,EXC
659,28,people,EXC
660,28,on,EXC
661,28,a,EXC
662,28,sunday,EXC
663,28,but,O
664,28,not,B_INC
665,28,all,INC
666,28,concentrated,INC
667,28,in,INC
668,28,a,INC
669,28,few,INC
670,28,areas,INC
671,29,our,O
672,29,11yo,B_INC
673,29,sons,INC
674,29,interest,INC
675,29,was,INC
676,29,held,INC
677,29,long,INC
678,29,enough,INC
679,30,my,B_INC
680,30,threesisters,INC
681,30,and,INC
682,30,i,INC
683,30,just,O
684,30,did,O
685,30,maya,O
686,30,wellness,O
687,30,ritual,O
688,30,excursion,O
689,30,offered,O
690,30,on,O
691,30,celebrity,O
692,30,equinox,O
693,31,stroll,O
694,31,around,O
695,31,and,O
696,31,find,O
697,31,areas,O
698,31,to,O
699,31,see,O
700,31,be,O
701,31,mindful,O
702,31,to,O
703,31,wear,O
704,31,good,O
705,31,footwear,O
706,31,and,O
707,31,if,B_EXC
708,31,u,EXC
709,31,you,EXC
710,31,have,EXC
711,31,a,EXC
712,31,walker,EXC
713,31,or,EXC
714,31,wheelchair,EXC
715,31,it,EXC
716,31,could,EXC
717,31,be,EXC
718,31,challenging,EXC
719,31,in,EXC
720,31,some,EXC
721,31,areas,EXC
722,31,of,EXC
723,31,the,EXC
724,31,side,EXC
725,31,walk,EXC
726,32,def,O
727,32,worth,B_INC
728,32,the,INC
729,32,visit,INC
730,32,even,INC
731,32,in,INC
732,32,a,INC
733,32,cold,INC
734,32,monthgo,INC
735,32,up,O
736,32,the,O
737,32,cliffs,O
738,32,and,O
739,32,walk,O
740,32,the,O
741,32,entire,O
742,32,beach,O
743,33,those,B_INC
744,33,in,INC
745,33,wheelchairs,INC
746,33,get,INC
747,33,in,INC
748,33,free,INC
749,34,all,O
750,34,the,O
751,34,eating,O
752,34,places,O
753,34,have,O
754,34,areas,O
755,34,where,O
756,34,those,B_INC
757,34,in,INC
758,34,wheelchairs,INC
759,34,can,INC
760,34,remain,INC
761,34,seated,INC
762,34,while,O
763,34,eating,O
764,35,i,O
765,35,didnt,O
766,35,miss,O
767,35,out,O
768,35,on,O
769,35,anything,O
770,35,as,O
771,35,all,B_INC
772,35,the,INC
773,35,areas,INC
774,35,are,INC
775,35,accessible,INC
776,35,by,INC
777,35,wheelchair,INC
778,36,the,O
779,36,toilets,B_INC
780,36,had,INC
781,36,disabled,INC
782,36,facilities,INC
783,37,i,O
784,37,was,O
785,37,impressed,B_INC
786,37,with,INC
787,37,the,INC
788,37,way,INC
789,37,disabled,INC
790,37,visitors,INC
791,37,were,INC
792,37,treated,INC
793,38,id,O
794,38,certainly,O
795,38,recommend,B_INC
796,38,the,INC
797,38,miracle,INC
798,38,,INC
799,38,gardens,INC
800,38,to,INC
801,38,other,INC
802,38,disabled,INC
803,39,not,B_INC
804,39,expensive,INC
805,39,about,O
806,39,1000,O
807,39,yens,O
808,39,but,O
809,39,you,O
810,39,will,O
811,39,take,O
812,39,the,O
813,39,most,O
814,39,beautiful,O
815,39,picture,O
816,39,of,O
817,39,your,O
818,39,trip,O
819,39,in,O
820,39,kyoto,O
821,39,just,O
822,39,like,O
823,39,this,O
824,39,one,O
825,39,on,O
826,39,tripadvisor,O
827,40,prepare,O
828,40,for,O
829,40,heat,B_EXC
830,40,in,EXC
831,40,july,EXC
832,40,the,O
833,40,place,B_EXC
834,40,is,EXC
835,40,crowded,EXC
836,41,there,O
837,41,are,O
838,41,a,O
839,41,few,O
840,41,placed,O
841,41,to,O
842,41,go,O
843,41,eat,O
844,41,around,O
845,41,the,O
846,41,temple,O
847,41,but,O
848,41,most,O
849,41,are,O
850,41,very,O
851,41,small,O
852,41,and,O
853,41,are,O
854,41,full,O
855,41,at,O
856,41,lunch,O
857,41,time,O
858,41,i,O
859,41,would,O
860,41,recommend,B_EXC
861,41,to,EXC
862,41,eat,EXC
863,41,somewhere,EXC
864,41,else,EXC
865,42,wear,O
866,42,comfortable,O
867,42,shoes,O
868,42,a,B_EXC
869,42,lot,EXC
870,42,of,EXC
871,42,walking,EXC
872,43,great,B_INC
873,43,family,INC
874,43,day,INC
875,43,out,INC
876,44,excellent,O
877,44,rides,O
878,44,for,B_INC
879,44,all,INC
880,44,ages,INC
881,45,only,O
882,45,one,B_EXC
883,45,negative,EXC
884,45,which,EXC
885,45,is,EXC
886,45,thepark,EXC
887,45,entry,EXC
888,45,fee,EXC
889,45,if,O
890,45,your,O
891,45,just,O
892,45,bringing,O
893,45,the,O
894,45,kids,O
895,45,,O
896,45,you,O
897,45,arent,O
898,45,going,O
899,45,on,O
900,45,any,O
901,45,rides,O
902,45,yourself,O
903,45,i,O
904,45,think,O
905,45,that,O
906,45,is,O
907,45,putting,B_EXC
908,45,older,EXC
909,45,people,EXC
910,45,off,EXC
911,45,that,O
912,45,are,O
913,45,wanting,O
914,45,to,O
915,45,bring,O
916,45,the,O
917,45,grand,O
918,45,children,O
919,45,for,O
920,45,the,O
921,45,day,O
922,45,other,O
923,45,than,O
924,45,that,O
925,45,its,O
926,45,a,O
927,45,great,O
928,45,day,O
929,45,out,O
930,46,if,B_EXC
931,46,you,EXC
932,46,are,EXC
933,46,physically,EXC
934,46,challenged,EXC
935,46,going,EXC
936,46,up,EXC
937,46,the,EXC
938,46,steep,EXC
939,46,stairs,EXC
940,46,is,EXC
941,46,not,EXC
942,46,going,EXC
943,46,to,EXC
944,46,be,EXC
945,46,an,EXC
946,46,option,EXC
947,46,for,O
948,46,getting,O
949,46,to,O
950,46,the,O
951,46,ships,O
952,46,bridge,O
953,46,or,O
954,46,upper,O
955,46,decks,O
956,47,not,B_INC
957,47,just,INC
958,47,for,INC
959,47,the,INC
960,47,food,INC
961,47,but,O
962,47,the,O
963,47,shops,O
964,47,as,O
965,47,well,O
966,48,tommy,O
967,48,bahama,O
968,48,upstairs,O
969,48,sitting,O
970,48,outside,O
971,48,having,O
972,48,a,O
973,48,nice,B_INC
974,48,drink,INC
975,48,and,INC
976,48,eats,INC
977,48,is,INC
978,48,a,INC
979,48,plaesure,INC
980,48,as,INC
981,48,well,INC
982,49,if,O
983,49,you,O
984,49,need,O
985,49,a,O
986,49,supermarketa,O
987,49,pharmacy,O
988,49,your,O
989,49,feet,O
990,49,nibbled,O
991,49,in,O
992,49,a,O
993,49,fish,O
994,49,spa,O
995,49,as,O
996,49,well,O
997,49,as,O
998,49,a,B_INC
999,49,range,INC
1000,49,of,INC
1001,49,eating,INC
1002,49,and,O
1003,49,other,O
1004,49,shopping,O
1005,49,options,O
1006,49,then,O
1007,49,this,O
1008,49,is,O
1009,49,for,O
1010,49,you,O
1011,50,to,O
1012,50,start,O
1013,50,you,O
1014,50,had,O
1015,50,to,O
1016,50,line,B_EXC
1017,50,up,EXC
1018,50,for,EXC
1019,50,30,EXC
1020,50,minutes,EXC
1021,50,to,O
1022,50,get,O
1023,50,a,O
1024,50,red,O
1025,50,access,O
1026,50,band,O
1027,50,and,O
1028,50,then,O
1029,50,the,B_EXC
1030,50,disabled,EXC
1031,50,access,EXC
1032,50,ques,EXC
1033,50,on,EXC
1034,50,the,EXC
1035,50,bigger,EXC
1036,50,rides,EXC
1037,50,were,EXC
1038,50,quite,EXC
1039,50,long,EXC
1040,50,,O
1041,50,we,O
1042,50,waited,O
1043,50,55,O
1044,50,minutes,O
1045,50,in,O
1046,50,the,O
1047,50,red,O
1048,50,band,O
1049,50,access,O
1050,50,queover,O
1051,50,all,O
1052,50,had,O
1053,50,an,O
1054,50,amazing,O
1055,50,day,O
1056,50,but,O
1057,50,very,O
1058,50,hypocritical,O
1059,50,and,O
1060,50,disappointing,O
1061,51,expensive,B_EXC
1062,51,shops,EXC
1063,51,nice,O
1064,51,little,O
1065,51,shuttle,O
1066,51,ride,O
1067,51,through,O
1068,51,the,O
1069,51,area,O
1070,52,it,B_EXC
1071,52,was,EXC
1072,52,busy,EXC
1073,52,but,O
1074,52,not,B_INC
1075,52,incredibly,INC
1076,52,crowded,INC
1077,53,we,O
1078,53,had,O
1079,53,prepurchasedreserved,O
1080,53,times,O
1081,53,for,O
1082,53,the,O
1083,53,two,O
1084,53,experiences,O
1085,53,that,O
1086,53,we,O
1087,53,did,O
1088,53,but,O
1089,53,the,O
1090,53,line,O
1091,53,for,O
1092,53,the,O
1093,53,free,B_INC
1094,53,ride,INC
1095,53,was,INC
1096,53,only,INC
1097,53,about,INC
1098,53,10,INC
1099,53,minutes,INC
1100,54,the,O
1101,54,heart,O
1102,54,of,O
1103,54,the,O
1104,54,island,O
1105,54,is,O
1106,54,dominated,O
1107,54,by,O
1108,54,a,O
1109,54,six,O
1110,54,lane,O
1111,54,highway,O
1112,54,straight,O
1113,54,through,O
1114,54,its,O
1115,54,centre,O
1116,54,and,O
1117,54,largely,O
1118,54,the,O
1119,54,shops,O
1120,54,restaurants,B_EXC
1121,54,and,EXC
1122,54,bars,EXC
1123,54,seem,EXC
1124,54,to,EXC
1125,54,be,EXC
1126,54,aiming,EXC
1127,54,at,EXC
1128,54,a,EXC
1129,54,pretty,EXC
1130,54,low,EXC
1131,54,demographic,EXC
1132,55,and,O
1133,55,you,O
1134,55,can,O
1135,55,skip,O
1136,55,the,O
1137,55,long,B_EXC
1138,55,line,EXC
1139,55,at,EXC
1140,55,the,EXC
1141,55,entrance,EXC
1142,56,the,O
1143,56,views,O
1144,56,from,O
1145,56,the,O
1146,56,cable,O
1147,56,car,O
1148,56,were,O
1149,56,great,O
1150,56,especially,O
1151,56,with,O
1152,56,the,O
1153,56,floor,O
1154,56,rotating,O
1155,56,360,O
1156,56,degrees,O
1157,56,but,O
1158,56,it,O
1159,56,felt,B_EXC
1160,56,just,EXC
1161,56,like,EXC
1162,56,an,EXC
1163,56,overcrowded,EXC
1164,56,elevator,EXC
1165,57,if,B_EXC
1166,57,youre,EXC
1167,57,overly,EXC
1168,57,claustrophobic,EXC
1169,57,i,EXC
1170,57,wish,EXC
1171,57,you,EXC
1172,57,all,EXC
1173,57,the,EXC
1174,57,best,EXC
1175,58,that,O
1176,58,was,O
1177,58,what,O
1178,58,we,O
1179,58,had,O
1180,58,planned,O
1181,58,for,O
1182,58,the,O
1183,58,day,O
1184,58,so,O
1185,58,we,O
1186,58,just,O
1187,58,left,O
1188,58,as,O
1189,58,we,O
1190,58,had,O
1191,58,already,O
1192,58,done,O
1193,58,a,O
1194,58,tour,O
1195,58,before,O
1196,58,although,O
1197,58,it,O
1198,58,was,O
1199,58,very,B_EXC
1200,58,rushed,EXC
1201,58,and,EXC
1202,58,crowded,EXC
1203,59,the,O
1204,59,place,O
1205,59,was,O
1206,59,impeccably,B_INC
1207,59,clean,INC
1208,59,and,O
1209,59,great,B_INC
1210,59,value,INC
1211,59,for,INC
1212,59,money,INC
1213,60,i,O
1214,60,also,O
1215,60,recommend,B_EXC
1216,60,taking,EXC
1217,60,food,EXC
1218,60,to,EXC
1219,60,eat,EXC
1220,60,as,O
1221,60,the,O
1222,60,couple,O
1223,60,of,O
1224,60,eateries,O
1225,60,looked,O
1226,60,completely,O
1227,60,full,O
1228,61,if,O
1229,61,im,O
1230,61,correct,O
1231,61,there,O
1232,61,will,O
1233,61,also,O
1234,61,be,O
1235,61,a,O
1236,61,jellyfish,O
1237,61,exhibit,O
1238,61,coming,O
1239,61,soon,O
1240,61,well,B_INC
1241,61,worth,INC
1242,61,the,INC
1243,61,money,INC
1244,61,and,O
1245,61,perfect,B_INC
1246,61,for,INC
1247,61,a,INC
1248,61,rainy,INC
1249,61,day,INC
1250,61,indoor,O
1251,61,activity,O
1252,62,their,O
1253,62,beers,O
1254,62,are,O
1255,62,absolutely,O
1256,62,ice,O
1257,62,cold,O
1258,62,i,B_INC
1259,62,was,INC
1260,62,shocked,INC
1261,62,and,INC
1262,62,only,INC
1263,62,2euro,INC
1264,62,25cl,INC
1265,62,heineken,INC
1266,63,thats,O
1267,63,objectively,O
1268,63,pretty,B_INC
1269,63,cheap,INC
1270,63,for,INC
1271,63,paris,INC
1272,64,the,O
1273,64,tours,B_INC
1274,64,are,INC
1275,64,free,INC
1276,65,recommended,B_INC
1277,65,for,INC
1278,65,couples,INC
1279,65,families,INC
1280,65,large,INC
1281,65,groups,INC
1282,65,and,INC
1283,65,basically,O
1284,65,everybody,O
1285,65,who,O
1286,66,we,O
1287,66,booked,O
1288,66,one,O
1289,66,of,O
1290,66,the,O
1291,66,most,B_EXC
1292,66,expensive,EXC
1293,66,cruises,EXC
1294,66,for,O
1295,66,our,B_INC
1296,66,honeymoon,INC
1297,66,the,O
1298,67,we,O
1299,67,easily,O
1300,67,spent,O
1301,67,most,O
1302,67,of,O
1303,67,a,O
1304,67,day,O
1305,67,here,O
1306,67,theres,O
1307,67,so,O
1308,67,much,O
1309,67,to,O
1310,67,see,O
1311,67,go,B_INC
1312,67,early,INC
1313,67,we,O
1314,67,got,O
1315,67,there,O
1316,67,when,O
1317,67,it,O
1318,67,opened,O
1319,67,and,O
1320,67,went,O
1321,67,right,O
1322,67,for,O
1323,67,the,O
1324,67,handson,O
1325,67,exhibits,O
1326,67,like,O
1327,67,touching,O
1328,67,sting,O
1329,67,rays,O
1330,67,and,O
1331,67,sea,O
1332,67,stars,O
1333,68,no,B_INC
1334,68,lines,INC
1335,68,at,INC
1336,68,all,INC
1337,68,and,O
1338,68,room,O
1339,68,to,O
1340,68,move,O
1341,68,around,O
1342,68,get,O
1343,68,ticket,O
1344,68,discounts,O
1345,68,on,O
1346,68,365,O
1347,68,tickets,O
1348,68,bring,O
1349,68,your,O
1350,68,own,O
1351,68,lunch,O
1352,68,in,O
1353,68,a,O
1354,68,backpack,O
1355,68,and,O
1356,68,leave,O
1357,68,bag,O
1358,68,in,O
1359,68,small,O
1360,68,lockers,O
1361,68,for,O
1362,69,eat,O
1363,69,before,O
1364,69,noon,O
1365,69,to,O
1366,69,get,O
1367,69,a,O
1368,69,table,O
1369,69,there,O
1370,69,is,O
1371,69,also,O
1372,69,a,O
1373,69,lot,B_INC
1374,69,of,INC
1375,69,outdoor,INC
1376,69,seating,INC
1377,69,to,INC
1378,69,eat,INC
1379,69,out,INC
1380,69,on,O
1381,69,a,O
1382,69,nice,O
1383,69,day,O
1384,70,my,B_INC
1385,70,wife,INC
1386,70,and,INC
1387,70,i,INC
1388,70,love,INC
1389,70,it,INC
1390,71,something,B_EXC
1391,71,unsettling,EXC
1392,71,about,EXC
1393,71,young,EXC
1394,71,women,EXC
1395,71,standing,EXC
1396,71,in,EXC
1397,71,full,EXC
1398,71,length,EXC
1399,71,windows,EXC
1400,71,doing,EXC
1401,71,anything,EXC
1402,71,they,EXC
1403,71,can,EXC
1404,71,to,EXC
1405,71,attract,EXC
1406,71,old,EXC
1407,71,horny,EXC
1408,71,married,EXC
1409,71,men,EXC
1410,72,going,O
1411,72,off,O
1412,72,of,O
1413,72,my,O
1414,72,experience,O
1415,72,the,O
1416,72,roads,B_EXC
1417,72,get,EXC
1418,72,quite,EXC
1419,72,busy,EXC
1420,72,so,O
1421,72,if,O
1422,72,you,B_EXC
1423,72,get,EXC
1424,72,claustrophobic,EXC
1425,72,its,EXC
1426,72,probably,EXC
1427,72,best,EXC
1428,72,to,EXC
1429,72,sit,EXC
1430,72,this,EXC
1431,72,out,EXC
1432,73,its,O
1433,73,worth,B_INC
1434,73,the,INC
1435,73,7,INC
1436,73,one,INC
1437,73,way,INC
1438,74,hubby,B_INC
1439,74,and,INC
1440,74,i,INC
1441,74,traveled,INC
1442,74,to,O
1443,74,kentucky,O
1444,74,to,O
1445,74,see,O
1446,74,this,O
1447,74,replica,O
1448,74,of,O
1449,74,noahs,O
1450,74,ark,O
1451,74,and,O
1452,74,we,O
1453,74,were,O
1454,74,not,O
1455,74,disappointed,O
1456,75,we,O
1457,75,purposely,O
1458,75,went,O
1459,75,on,O
1460,75,a,O
1461,75,weekday,O
1462,75,in,O
1463,75,hopes,O
1464,75,of,O
1465,75,avoiding,O
1466,75,a,O
1467,75,large,B_EXC
1468,75,crowd,EXC
1469,75,so,O
