sentence_id,sentence,category,type
199,prices arent bad though,price,I
200,the crowds werent bad,crowd,I
201,geared for kids,age,I
203,00 entry was a bit steep,price,E
204,tiny gaps that fit one person,claustrophobic,E
205,worth the money on a tour,price,I
206,it is very crowded throughout,crowd,E
206,hopefully not claustrophobic,claustrophobic,E
207,how crowded it is,crowd,E
208,tiny child could easily climb through and fall off the cliff,age,E
208,would not bring any littles,age,E
209,good family event,couples/family,I
209,good dinner,food,I
210,the kids liked that,age,I
211,kids like horses at all this is a great way to get a meal and a show,age,I
212,not as crowded as we expected,crowd,I
213,kids age 8 nan 11 love sitting on gator and,age,I
214,my husband and i went,couples/family,I
215,table had place for 8 people,couples/family,I
215,instead of stuffed and crowded,crowd,I
216,delicious drinks,food,I
217,especially the kids for having a fantastic start in the evening,age,I
218,the food was delicious,food,I
219,took my partner,couples/family,I
220,rock seems very slippery,handicap,E
222,rather limited in menu selection,food,E
222,plenty of wonderful restaurants in the area,food,I
223,it was quite hot in july,time/day/month,E
224,cleanliness of the ocean was the best,hygiene,I
225,very adept at managing the crowds,crowd,I
225,never felt claustrophobic,claustrophobic,I
226,it is a narrow and at times poorly lit climb,claustrophobic,E
226,not a good option for the claustrophobic,claustrophobic,E
227,far to many people,crowd,E
228,food hall areafood shop is lovely,food,I
229,additional seating pads to raise smaller children up,age,I
230,heavily crowded,crowd,E
231,was a bit claustrophobic,claustrophobic,E
232,food and drink and,food,I
233,entrance not really expensive,price,I
234,dining place,food,I
235,easy to navigate with children,age,I
236,clean and well kept,hygiene,I
237,werent eyeing up the dads nan nan and definitely not the mothers nan this was clearly a childrens play area and i was not at all comfortable with,age,E
237,inappropriate and why would two grown men have an interest in going into a young childrens,age,E
238,removed my child and moved on,age,E
239,butt naked rear end appearing in his face as he was riding with our child on the carousel ride,age,E
239,cover up in food areas nan restaurants at least,food,E
240,food and pricing exactly what you would expect from any theme park,price,I
241,be prepared for traffic both ways,crowd,E
242,you hike over slippery rocks and slippery trails,handicap,E
243,worried about the people i saw carrying babies in back packs,age,E
244,it is known to be quite dangerous,age,E
245,6 year old daughter and we all loved it,age,I
246,me and my husband,couples/family,I
247,they made her feel like a princess,age,I
248,husband is visually impaired legally blind,handicap,I
249,food and drinks can be purchased for reasonable prices,price,I
250,a treat for my youngest son,age,I
251,helped reduce the usual queues,queues,I
252,u are handicap and have a scooter make sure and take it,handicap,I
253,only have wheelchairs,handicap,I
254,there were thousands of people,crowd,E
255,could be claustrophobic for some,claustrophobic,E
256,queues were too long,queues,E
257,queue was out the door to go pay for items,queues,E
258,who belonged to a group of 16all,couples/family,I
259,the food is nothing to talk about,food,E
260,room was so claustrophobic,claustrophobic,E
261,it was only 12,price,I
262,massive line,queues,E
263,go early,time/day/month,I
264,12 year old daughter,age,I
265,queues for rides with minimal,queues,I
265,had no queues at all,queues,I
266,the park is clean,hygiene,I
266,to cater for all ages,age,I
267,great alternative to the crazy busy crowds,crowd,I
268,great value down to earth food with,food,I
269,acceptable cost for travel,price,I
271,slight feeling of claustrophobia,claustrophobic,E
272,freshly cooked to order,food,I
273,plenty of hot nan cold drinks available,food,I
274,there is a parking lot,parking,I
275,variety of food,food,I
276,to make wonderful family,couples/family,I
277,well worth paying 30,price,I
278,our teenagers were captivated,age,I
279,the kids are already planning what tour they will do when they return again,age,I
280,family recently returned from a fun weekend trip,couples/family,I
281,with the large crowds,crowd,E
281,they felt claustrophobic at times,claustrophobic,E
282,we were 3 and another family of 4 joined us,couples/family,I
283,we escape the claustrophobic surroundings,claustrophobic,E
284,price has gone up to a whoppingper adult which is absolutely extortionate,price,E
285,it was very busy when we visited in early september,time/day/month,E
286,admission price is ridiculous,price,E
287,was packed,crowd,E
288,huge line to get on,queues,E
289,not for the claustrophobic,crowd,E
290,the lines were long even to pick up prepurchased tickets,queues,E
291,other lines snaked for 500m,queues,E
292,were unexpectedly busy,crowd,E
293,lines were crazy long,queues,E
294,isnt that much choice to eat if you are a vegetarian or vegan,food,E
295,still had quite a wait to get in,queues,E
296,hundreds of people packed like sardines in a tin,crowd,E
297,it was hot and claustrophobic,claustrophobic,E
298,negotiate large flights of stairs with small children and disabled people in the crowd,handicap,E
299,exploited by this money machine of,price,E
300,the food and show were great,food,I
301,the prices good,price,I
302,there at 630am and there was no one,time/day/month,I
303,busloads appears,crowd,E
304,i could criticise the price,price,E
305,my entire family 4 kids and wife and mom had a great time,couples/family,I
306,our 2 year old,age,E
307,not great for him,handicap,E
308,not very pushchair friendly,handicap,E
309,really helpful to my pregnant wife,handicap,I
310,really enjoyed having lunch,food,I
311,long lines,queues,E
312,bathrooms absolutely filthy,hygiene,E
313,floors and mirrors filthy,hygiene,E
314,not a place to take your kids,age,E
315,corridor claustrophobic,claustrophobic,E
316,long lines,queues,E
317,take the lift if the stairs present a challenge,handicap,I
318,i went with my wife,couples/family,I
319,queues for the rides,queues,E
319,waiting 40 minutes for a ice cream,queues,E
320,waits were so long,queues,E
321,family birthday for my 11 year old son,couples/family,I
322,kept clean,hygiene,I
323,wasnt over crowded,crowd,I
324,no feeling of claustrophobia,claustrophobic,I
325,cafes and bars,food,I
326,with my family,couples/family,I
327,costs 4,price,E
328,seems expensive,price,E
329,more entertaining for youth,age,I
330,feel claustrophobic,claustrophobic,E
331,price is suitable,price,I
332,youll be waiting a while,queues,E
333,a 2 hour wait,queues,E
334,clean,hygiene,I
335,use the elevators,handicap,I
336,on a family trip,couples/family,I
337,that engage children,age,I
338,food options,food,I
339,scientific loving family,couples/family,I
340,easy to navigate for those in wheelchairs or with other mobility issues,handicap,I
341,they looked quite busy,crowd,E
341,every type of food you could ask for available,food,I
342,charge so much,price,I
343,seating itself is crowded,crowd,E
344,drinks spilled all over the floor,hygiene,E
345,hang back for a while if you are claustrophobic at all,claustrophobic,E
346,lots of people,crowd,E
347,due to friends claustrophobia,claustrophobic,E
348,plenty of car parking,parking,I
349,climb up the mount was a challenge,handicap,E
350,unsanitary and disgusting toilets,hygiene,E
351,a bit pricey,price,E
352,makes the experience claustrophobic,claustrophobic,E
353,young couple,couples/family,I
354,was a little on the high,price,E
355,on the kids area,age,I
355,hardly have any line,queues,I
356,made me nervous because i get claustrophobic really,claustrophobic,E
357,it wasnt crowded,crowd,I
358,it was probably at least 30 minutes,queues,E
359,lines were short,queues,I
360,waste your whole day standing in line,queues,E
361,can get very busy,crowd,E
362,crazy crowded,crowd,E
363,reasonable christmas sales prices 50,price,I
364,be prepared for the crowds,crowd,E
365,teenagers to the 8 year old,age,I
366,no limit to the number of people,crowd,I
367,especially for families,couples/family,I
368,almost always packed to the brim,crowd,E
368,especially saturdays,time/day/month,E
369,recommend only going to this park on a weekday,time/day/month,I
370,worth the price,price,I
371,frequently crowded,crowd,E
372,if youre claustrophobic they might not be very awesome,claustrophobic,E
373,of very long lines,queues,E
374,food is really nothing special here,food,E
375,very expensive,price,E
376,just be prepared for the amount of money it will cost you,price,E
377,if it is not crowded,crowd,E
378,my 5 year old daughter,age,I
379,is expensive i,price,I
380,battling long queues and crowds,queues,E
381,park is so clean,hygiene,I
382,parking is difficult to obtain,parking,E
383,not handicap accessible,handicap,E
384,can get crowded,crowd,E
385,including the disabled,handicap,I
386,focused on younger visitors,age,I
387,great for families,couples/family,I
388,prepared to spend 40 for,price,E
389,there were no crowds,crowd,I
390,have to wait in line,queues,E
391,watched families with small children and elderly expected to do this,couples/family,E
392,great food,food,I
393,activities is a bit expensive for,price,E
394,easy disabled access,handicap,I
396,for a couple,couples/family,I
396,older children,age,I
397,terrible area for bikes strollers nan wheel chairs or walkers,handicap,E
398,without it feeling overcrowded,crowd,I
399,with play areas for children,age,I
400,steep for an hour tour,price,I
401,concerned about parking,parking,E
402,straight to our designated disabilty balcony,handicap,I
403,seated in my own wheelchair afront a few inebriated attendees nan,handicap,E
404,very clean,hygiene,E
404,fully wheelchair friendly,handicap,I
405,19 yr old and her boyfriend,couples/family,I
406,claustrophobics beware,claustrophobic,E
407,still very busy,crowd,E
409,claustrophobic crowds,claustrophobic,I
411,children friendly,age,I
411,handicapped friendly,handicap,I
412,enjoyed our meal,food,I
413,really expensive,price,E
414,no trouble finding parking,parking,I
415,little crowded,crowd,E
416,youre claustrophobic,claustrophobic,E
417,the long long wait,queues,E
418,claustrophobic,claustrophobic,E
419,extent of parking,parking,I
420,with long lines,queues,E
421,mildly claustrophobic,claustrophobic,E
422,he is a teenager and,age,I
423,kids because they love it,age,I
423,as adults it really isnt our favourite,age,E
424,queues were pretty horrific,queues,E
425,was claustrophobic,claustrophobic,E
426,avoid holiday weekends,time/day/month,E
427,ques to buy tickets was huge,queues,E
428,it was very claustrophobic,claustrophobic,E
430,930pm the night we arrived and found ourselves very exhausted,time/day/month,E
431,they were so engaged the whole time,age,I
432,would do it again with kids,age,I
434,in the day before it gets busy,crowd,I
436,food was lukewarm and below average,food,E
437,best a little early in the morning,time/day/month,I
438,not cheap,price,E
439,lots of interactive things for kids and adults,age,I
440,no discount for disabled,handicap,E
441,my husband and i,couples/family,I
442,too small for the exhibits plus a full crowd of visitors,crowd,E
443,not enough space,claustrophobic,E
443,make the place claustrophobic,claustrophobic,E
444,entrance fee was very reasonable,price,I
445,there were big queues,queues,E
445,food was well priced and very good,food,I
446,without feeling claustrophobic,claustrophobic,I
447,had to queue for 1 hour 45 mins,queues,E
448,was very expensive,price,E
449,buffet nan very good and largepasta,food,I
450,but we spent about 5 hours queuing,queues,E
451,many women with push chairs,handicap,I
452,food in the main cafe is very average,food,E
453,more geared for teens and above,age,I
454,pretty much empty on a weekday,time/day/month,I
455,poorly cook and taste lousy,food,E
456,near the entrance is a tedious effort,queues,E
456,push the strollers up a very steep slope,handicap,E
457,family with young kids can skip this park,age,E
458,is not kid friendly,age,E
459,make it family friendly,couples/family,E
461,difficult for those with mobility or claustrophobia,claustrophobic,E
462,families couples,couples/family,I
463,only more expensive,price,E
464,very tasty dishes and cheap,price,I
465,but an expensive day and,price,E
465,very crowded,crowd,E
466,claustrophobic for me,claustrophobic,E
467,although its busy,crowd,E
467,never feels claustrophobic,claustrophobic,E
468,the food was surprisingly great,food,I
469,if your kids are old enough,age,I
469,dont mind paying extra,price,E
470,girls ages 18 20 and 20 loved,age,I
471,dubious about the admission price,price,E
472,our kids aged 3,age,I
473,5 and 5 enjoyed,age,I
474,whole place feels claustrophobic,claustrophobic,E
475,queues were lengthy 4570 mins,queues,E
476,and the kids loved that,age,I
477,can be quite claustrophobic,claustrophobic,E
478,only 1 ride the 8yo could not go on,age,E
478,both kids could do everything,age,I
479,without having to queue,queues,I
480,seating is claustrophobic,claustrophobic,E
481,food looked expensive,food,E
482,it can be expensive,price,E
483,no line waiting hardly at all,queues,I
485,free car parking,parking,I
486,lovely cafe,food,I
487,fairly expensive,price,E
487,crowds are dismal,crowd,E
488,over shadowed by the volume of people,crowd,E
489,with my family,couples/family,I
490,on wheelchair and stroller can use this walk,handicap,I
491,you are not into climbing stairs,handicap,E
491,claustrophobic,claustrophobic,E
492,family with two teenage daughters had a great day,couples/family,I
493,all nice and clean,hygiene,I
494,young people,age,I
495,the long line,queues,E
496,walkways were so cramped,claustrophobic,E
497,full from people,crowd,E
498,but it was so crowded,crowd,E
499,nothing for wheelchair,handicap,E
501,so fun for the kids,age,I
502,were clean,hygiene,I
504,lifetime experience for my kids and husband,age,I
505,nothing to do with children,age,E
506,and dirty,hygiene,E
507,no elevators nor ramps for prams and people with disabilities,handicap,E
508,not worth,price,E
509,recommend getting there early,time/day/month,I
509,went at 930am on monday,time/day/month,I
510,food are well priced,price,I
510,theres plenty of selection,food,I
511,it seems quite expensive per,price,E
512,i would not be able to play the slots,price,E
512,you had a handicap place card you where able to park which means going to the buffet is also out of the question,handicap,E
513,may not be suitable for very young children,age,E
513,wheelchair users may find it unusable,handicap,E
514,best to go on early mid week days,time/day/month,I
514,it gets crowded on the weekend,crowd,E
515,go early,time/day/month,I
516,would not have wanted to be going up at noon,time/day/month,E
517,line was queued for a hour or more on a monday,time/day/month,E
519,were very clean,hygiene,I
520,nude sunbathing,age,E
521,96 that are on that section are nude or partially nude,age,E
523,at no point did the theatre feel to claustrophobic,claustrophobic,I
524,it was pretty crowded,crowd,E
525,hard time finding parking,parking,E
526,great place for either family fun or couples,couples/family,I
527,it is clean,hygiene,I
528,took our 12 nan 10 year old grandkids,age,I
528,nan lines got a little long in the mid,queues,E
528,and the price is,price,I
529,recommend going on a saturday or sunday if you are a group of 2 or more,time/day/month,I
530,found a long queue there,queues,E
531,are packed tightly,claustrophobic,E
532,overpriced souvenirs,price,E
533,very crowded place,crowd,E
534,it impossible for the disabled,crowd,E
535,food was extorionately high in cost,handicap,E
535,an expensive visit for a family,price,E
536,place was packed out,crowd,E
537,have an overpriced drink,price,E
539,great food options,food,I
540,the price was perfect,price,I
542,absolutely delicious meal,food,I
543,few ideas for family fun1,couples/family,I
544,first thing in the morning,time/day/month,I
545,parking lot is full of loitering people,hygiene,E
546,took our 3 teenagers,age,I
547,food selection,food,I
548,not good for a prambulator or wheelchair,handicap,E
549,were all fun for our 10 year old,age,I
550,can get very busy,crowd,E
551,after having a delicious lunch,food,I
552,being the month of february the weather was very nice,time/day/month,I
553,entire area is quite smooth nan wheelchair accessible,handicap,I
554,plenty of other accessible shops,handicap,I
555,not claustrophobic like other casinos,claustrophobic,I
556,seems to be the cleanest,hygiene,I
557,the familybeautifulyou,couples/family,I
558,suit everyone in the family,couples/family,I
559,young and old can find plenty to interest them,age,I
560,very crowded,crowd,E
561,quite expensive,price,E
562,if you are travelling with kids i wouldnt recommend it,age,E
563,a fun kids section,age,I
564,as they can be pricey,price,E
565,parking and camping areas are large,parking,I
566,just 8 per vehicle,price,I
567,lines for the tram can be long very long,queues,E
568,complained about feeling claustrophobic,claustrophobic,E
569,do not recommend going between christmas and new years day,time/day/month,E
570,you with three young children the last thing you want to do is be stuck in traffic,crowd,E
571,helping my wheelchair bound daughter,handicap,I
572,its great for kids,age,I
573,i plan to do this trip again with my husband,couples/family,I
574,very busy,crowd,E
575,huge queues,queues,E
576,my teenage son loved,age,I
577,difficult to access if you require a wheelchair,handicap,E
577,has a lift in for disabled visitors,handicap,I
578,gluten free choice of food available wasnt as extensive,food,E
579,nice to have gluten free bread,food,E
580,kids i saw seemed to be having great fun,age,I
582,if you are claustrophobic take caution,claustrophobic,E
583,other fun stuff for the kids to do you,age,I
584,wednesdays are free to get in,time/day/month,I
584,parking spots are very narrow,parking,E
585,it was very crowded,crowd,E
585,when you have strollers and you cant get through,handicap,E
586,hundreds of places to eat and drink,food,I
587,heat was making me feel so claustrophobic,claustrophobic,E
588,get there a little early,time/day/month,I
589,prices are good,price,I
590,which are tight and claustrophobic,claustrophobic,I
591,and clean too,hygiene,I
592,accessible by my husbands mobility cart,handicap,I
593,had a short queue,crowd,I
594,due to claustrophobia issues,claustrophobic,E
595,it was all kept clean and,hygiene,I
596,other parking options,parking,I
597,at night is with a group,time/day/month,I
598,food prices are a bit extreme,food,E
599,children under age 18 years old dont require a ticket,age,I
600,stairwell was hot and stuffy,claustrophobic,E
601,people of all ages,age,I
602,best times to hike are during the early morning,time/day/month,I
602,late afternoon to evening,time/day/month,I
603,there is parking,parking,I
604,if you have younger children avoid the strenuous trails,age,E
605,stairs are dangerous to scale and,handicap,E
606,crowds of people just take over the streets,crowd,E
607,but a little claustrophobic,claustrophobic,E
609,at a reasonable price,price,I
610,no parking provided,parking,E
611,reasonable priced,price,I
612,many food choices,food,I
613,the trip was expensive,price,I
614,there were 3 couples,couples/family,I
615,make sure you arrive early,time/day/month,I
616,crowds get too big,crowd,E
617,was cheaper for our family of 4 and,couples/family,I
618,cabin was very clean,hygiene,I
618,food was perfectly adequate,food,I
619,was suitable for kids,age,I
620,whilst not cheap at around 1100,price,E
621,full of people,crowd,E
622,places to eat,food,I
623,overpriced,price,E
624,great fun for the whole family,couples/family,I
625,parking in the area is difficult,parking,E
626,other long lines,queues,E
627,overcrowded main floor,crowd,E
628,narrow crowded hallwaysstairwells,claustrophobic,E
629,i question its price tag,price,E
631,perfct for all ages,age,I
632,there is a lot of walking and stairs,handicap,E
633,its not cheap but,price,E
634,parking is right outside the entry,parking,I
635,too overcrowded,crowd,E
635,overpriced,price,E
636,the kids enjoyed the,age,I
637,very clean,hygiene,E
637,was clean,hygiene,I
638,a bit expensive,price,E
639,dont have to get the expensive seats,price,I
640,aimed at an adult mature crowd,age,I
641,quite expensive,price,E
643,is there ventilation food at the buffet was reasonably priced and tasty,food,I
644,wasnt really a crowd,crowd,I
646,you dont like crowds or feel claustrophobic being,claustrophobic,E
647,going early in the morning or late in the evening,time/day/month,I
649,no drinks or food could be served,food,E
650,super taxed and never cheap,price,E
651,family orientated,couples/family,I
652,the food and drink is overpriced but,price,E
653,in the food and drink queues,queues,E
654,has good disabled accessibility,handicap,I
655,several people being pushed in wheelchairs,handicap,I
655,arent loads of steep inclines,handicap,I
656,loan wheelchairs for free,handicap,I
657,for our honeymoon,couples/family,I
658,honored our request to sit in the first row due to handicap issues,handicap,I
659,recommend this fun train trip to any family wanting,couples/family,I
660,theres a large queue inside,queues,E
661,would be really expensive,price,E
662,the long line,queues,E
663,a sunday morning and the line was long,time/day/month,E
664,prices are very good,price,I
665,must go for all the family,couples/family,I
666,nice place for the whole family the,couples/family,I
667,is during the winter months,time/day/month,I
669,trail though is very cool and if my youngest were perhaps 10,age,E
670,free admission and parking,parking,I
670,food court prices and tasty,food,I
671,kids will have memories for a lifetime,age,I
672,my granddaughter did not enjoy,age,E
673,reasonably priced,price,I
674,dining on the second floor is great,food,I
675,even if you have the kids in tow,age,I
676,for kids,age,I
677,the children were happy,age,I
678,it was busy,crowd,E
679,but super crowded,crowd,E
680,be ready to walk up many hills and stairs,handicap,E
681,best time to practice is in the morning,time/day/month,I
682,you have the crowd coming,crowd,E
683,be careful with the teenagers,age,E
684,kind of expensive,price,E
685,it can be nice for kids,age,I
686,it is clean,hygiene,I
687,january is a great time,time/day/month,I
688,lots of overpriced but tasty food and drink,food,I
689,concert crazy crowded,crowd,E
690,handicap drop off area,handicap,I
691,no issue parking although,parking,I
692,recommend going both day and night,time/day/month,I
693,journey was a bit pricey,price,E
694,the kids would love it,age,I
695,it was really busy,crowd,E
696,it all got a bit claustrophobic,claustrophobic,E
697,for kids especially teens,age,I
698,smaller kids may not be able to participate,age,E
699,parking lot is currently closed,parking,E
700,crazy kids,age,I
701,avoid the queues,queues,E
702,its little bit crowded because,crowd,E
703,pretty much stroller friendly,handicap,I
703,we put the baby in the carrier and left the stroller by security,age,E
704,tired screaming and uncontrolled kids,age,E
704,hot claustrophobic waiting line,claustrophobic,E
705,show was overpriced,price,E
705,wait to get in was too long,queues,E
706,shelf alcohol included was impressive,food,I
707,the buffets were worse,food,E
708,on ship internet is overpriced,price,E
709,this is a popular site,crowd,I
710,there were a lot of people,crowd,E
711,dining area needs great improvement,food,E
712,high prices limited selection,food,E
713,fill your belly inexpensively and deliciously,price,I
714,al la cart restaurants were amazing,food,I
714,food and wine is superb,food,I
715,wish to do so for all the family,couples/family,I
715,wheelchair friendly to anyone with disabilities,handicap,I
716,packed with tourists,crowd,E
717,great family fun,couples/family,I
718,grandkids did alot of the kids rides,age,I
719,a reasonably priced food,price,I
720,price seems a little bit steep,price,E
721,bit claustrophobic,claustrophobic,E
722,was very crowded queues for food were quite long,queues,E
723,things are expensive,price,E
724,but expensive,price,E
725,it was a bit claustrophobic,claustrophobic,E
726,went early in the morning around 8309am,time/day/month,I
726,there were no lines,queues,I
727,was a reasonable price,price,I
728,for the younger kids,age,I
729,expect lots of stairs,handicap,E
730,several steep and i mean steep staircases,handicap,E
731,i can begin to feel claustrophobic,claustrophobic,E
732,overpriced food,price,E
733,seemed reasonably priced,price,I
734,was not so busy,crowd,I
735,not over priced,price,I
736,im really sore about the amount of money we spent to,price,E
737,way overpriced,price,E
738,best time to go early morning,time/day/month,I
739,breakfast was good,food,I
740,filled with too many people,crowd,E
741,shame how many people were stuck queuing,queues,E
742,if you are claustrophobic or fearful of heights,claustrophobic,E
